bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount
1_medium_blowup,shift_scheduling,shift_scheduling_11,2.9393939393939394,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0850294,0.360368,25,0,0,56,0,0,0,0
1_medium_blowup,shift_scheduling,shift_scheduling_11,2.9393939393939394,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2717219,0.375173,25,0,0,56,0,0,0,0
1_medium_blowup,shift_scheduling,shift_scheduling_11,2.9393939393939394,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0017426,0.428131,25,0,0,1737,0,0,0,0
1_medium_blowup,shift_scheduling,shift_scheduling_23,3.198019801980198,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0305428,0.39549,11,1,0,46,1,6,6,0
1_medium_blowup,shift_scheduling,shift_scheduling_23,3.198019801980198,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0917992,0.432283,11,1,0,46,1,6,6,0
1_medium_blowup,shift_scheduling,shift_scheduling_23,3.198019801980198,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0016932,0.416572,11,1,0,1132,1,243,6,0
1_medium_blowup,shift_scheduling,shift_scheduling_29,3.0,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2013093,0.385018,32,1,0,109,1,27,27,0
1_medium_blowup,shift_scheduling,shift_scheduling_29,3.0,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.9643798,0.385564,32,1,0,109,1,27,27,0
1_medium_blowup,shift_scheduling,shift_scheduling_29,3.0,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0043866,0.400387,32,1,0,3334,1,3,2,0
1_medium_blowup,shift_scheduling,shift_scheduling_6,2.4408602150537635,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1410369,0.368693,24,0,0,81,0,0,0,0
1_medium_blowup,shift_scheduling,shift_scheduling_6,2.4408602150537635,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.3320493,0.416849,24,0,0,81,0,0,0,0
1_medium_blowup,shift_scheduling,shift_scheduling_6,2.4408602150537635,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0035993,0.405744,24,0,0,2466,0,0,0,0
2_high_blowup,regex,regex_10,19.0,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0110322,0.379517,35,0,0,38,0,0,0,0
2_high_blowup,regex,regex_10,19.0,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.6996096,0.377659,35,0,0,38,0,0,0,0
