bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_68,1.0624133148404993,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0229197,0.330903,110,46,0,51064,46,19.8695652173913,5,0,18.628699966939166,1021,31.855699911830015,721,4.518700035987422,1021,38.793299958342686,766
0_low_blowup,nonogram,nonogram_7,1.124223602484472,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0003802,0.262015,1,0,0,116,0,0,0,0,4.668199966545217,238,3.678599954582751,161,1.1384999816073105,238,5.103000003146008,181
0_low_blowup,nonogram,nonogram_7,1.124223602484472,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0003512,0.233504,1,0,0,116,0,0,0,0,4.668199966545217,238,3.678599954582751,161,1.1384999816073105,238,5.103000003146008,181
0_low_blowup,nonogram,nonogram_7,1.124223602484472,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,3.8e-05,0.23683,1,0,0,3259,0,0,0,0,4.668199966545217,238,3.678599954582751,161,1.1384999816073105,238,5.103000003146008,181
0_low_blowup,nonogram,nonogram_83,1.05851755526658,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0024344,0.253963,2,0,0,577,0,0,0,0,20.082300034118816,1079,38.780899994890206,769,4.835499988985248,1079,43.291599926305935,814
0_low_blowup,nonogram,nonogram_83,1.05851755526658,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0026377,0.243718,2,0,0,577,0,0,0,0,20.082300034118816,1079,38.780899994890206,769,4.835499988985248,1079,43.291599926305935,814
0_low_blowup,nonogram,nonogram_83,1.05851755526658,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0352406,0.336512,69,42,0,62440,42,33.71428571428572,3.714285714285714,0,20.082300034118816,1079,38.780899994890206,769,4.835499988985248,1079,43.291599926305935,814
0_low_blowup,nonogram,nonogram_9,1.2040816326530612,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.12e-05,0.229366,0,0,0,22,0,0,0,0,1.6795000265119597,77,0.9417999972356483,49,0.4017999744974077,77,1.3639000098919496,59
0_low_blowup,nonogram,nonogram_9,1.2040816326530612,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.14e-05,0.26017,0,0,0,22,0,0,0,0,1.6795000265119597,77,0.9417999972356483,49,0.4017999744974077,77,1.3639000098919496,59
0_low_blowup,nonogram,nonogram_9,1.2040816326530612,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.43e-05,0.221661,0,0,0,452,0,0,0,0,1.6795000265119597,77,0.9417999972356483,49,0.4017999744974077,77,1.3639000098919496,59
0_low_blowup,nonogram,nonogram_93,1.0611620795107033,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.31e-05,0.245734,0,0,0,397,0,0,0,0,16.440900013549253,908,26.896300027146935,654,3.947199962567538,908,32.859000042662956,694
0_low_blowup,nonogram,nonogram_93,1.0611620795107033,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,8.6e-06,0.242335,0,0,0,397,0,0,0,0,16.440900013549253,908,26.896300027146935,654,3.947199962567538,908,32.859000042662956,694
0_low_blowup,nonogram,nonogram_93,1.0611620795107033,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0184974,0.316423,41,29,0,38615,29,15.51724137931035,3.482758620689655,0,16.440900013549253,908,26.896300027146935,654,3.947199962567538,908,32.859000042662956,694
0_low_blowup,nonogram,nonogram_94,1.3571428571428572,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0009497,0.26046,7,0,0,51,0,0,0,0,1.2162000057287514,52,0.420599986682646,28,0.30449999030679464,52,0.7854999857954681,38
0_low_blowup,nonogram,nonogram_94,1.3571428571428572,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0008156,0.233347,7,0,0,51,0,0,0,0,1.2162000057287514,52,0.420599986682646,28,0.30449999030679464,52,0.7854999857954681,38
0_low_blowup,nonogram,nonogram_94,1.3571428571428572,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0001386,0.219415,7,0,0,571,0,0,0,0,1.2162000057287514,52,0.420599986682646,28,0.30449999030679464,52,0.7854999857954681,38
0_low_blowup,nonogram,nonogram_99,1.0609756097560976,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0670355,0.267907,25,9,0,1031,9,9.555555555555555,4.666666666666667,0,19.187899990356527,1035,34.07409999636002,738,6.004199938615784,1035,40.87409997009672,783
0_low_blowup,nonogram,nonogram_99,1.0609756097560976,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0766386,0.244269,25,9,0,1031,9,9.555555555555555,4.666666666666667,0,19.187899990356527,1035,34.07409999636002,738,6.004199938615784,1035,40.87409997009672,783
0_low_blowup,nonogram,nonogram_99,1.0609756097560976,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0835444,0.327889,230,125,0,139360,125,24.944,4.968,0,19.187899990356527,1035,34.07409999636002,738,6.004199938615784,1035,40.87409997009672,783
0_low_blowup,polyominoes,polyominoes_12,1.0851063829787233,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.061926,0.24634,10,0,0,172,0,0,0,0,17.837599996710196,682,317.64369999291375,47,11.772300000302494,409,58.91049999627285,51
0_low_blowup,polyominoes,polyominoes_12,1.0851063829787233,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0604295,0.236314,10,0,0,172,0,0,0,0,17.837599996710196,682,317.64369999291375,47,11.772300000302494,409,58.91049999627285,51
0_low_blowup,polyominoes,polyominoes_12,1.0851063829787233,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0011203,0.235662,10,0,0,4929,0,0,0,0,17.837599996710196,682,317.64369999291375,47,11.772300000302494,409,58.91049999627285,51
0_low_blowup,polyominoes,polyominoes_22,0.8888888888888888,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0662196,0.236003,11,0,0,143,0,0,0,0,27.48889998474624,1041,783.9278000028571,72,14.517999981762841,475,120.4542000341462,64
0_low_blowup,polyominoes,polyominoes_22,0.8888888888888888,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0566961,0.252844,11,0,0,143,0,0,0,0,27.48889998474624,1041,783.9278000028571,72,14.517999981762841,475,120.4542000341462,64
0_low_blowup,polyominoes,polyominoes_22,0.8888888888888888,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0008405,0.234258,12,0,0,3694,0,0,0,0,27.48889998474624,1041,783.9278000028571,72,14.517999981762841,475,120.4542000341462,64
