bin,problem_type,instance,blowup,config,solver_id,status,exit_code,objective,proven_optimal,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_44,1.0625,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,5.7803419,0.53493,1995,1314,0,2013313,1314,106.8614916286149,8.832572298325722,0,27.29300019564107,1025,49.990700208581984,720,6.619299994781613,1025,71.89299998572096,765
0_low_blowup,nonogram,nonogram_47,1.0583657587548638,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0120422,0.410652,6,2,0,552,2,1.5,1.5,0,27.937600010773167,1071,45.85959986434318,771,6.20350003009662,1071,70.27839991496876,816
0_low_blowup,nonogram,nonogram_47,1.0583657587548638,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0130461,0.401544,6,2,0,552,2,1.5,1.5,0,27.937600010773167,1071,45.85959986434318,771,6.20350003009662,1071,70.27839991496876,816
0_low_blowup,nonogram,nonogram_47,1.0583657587548638,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.0610274,0.582417,68,45,0,74000,45,16.06666666666667,3.311111111111111,0,27.937600010773167,1071,45.85959986434318,771,6.20350003009662,1071,70.27839991496876,816
0_low_blowup,nonogram,nonogram_5,1.052910052910053,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.2079068,0.409467,29,14,0,1426,14,19.14285714285714,3,0,40.04450005595572,1308,85.71699986350723,945,10.538200091104954,1308,109.96619981597178,995
0_low_blowup,nonogram,nonogram_5,1.052910052910053,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.2373288,0.399431,29,14,0,1423,14,19.14285714285714,3,0,40.04450005595572,1308,85.71699986350723,945,10.538200091104954,1308,109.96619981597178,995
0_low_blowup,nonogram,nonogram_5,1.052910052910053,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.4377089,0.656145,474,278,0,252059,278,55.28417266187051,6.938848920863309,0,40.04450005595572,1308,85.71699986350723,945,10.538200091104954,1308,109.96619981597178,995
0_low_blowup,nonogram,nonogram_52,1.0440528634361232,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,104.1025754,0.480268,3033,2742,0,301104,2742,60.27753464624362,12.79613420860686,0,54.74619986489415,1902,143.03779965848662,1362,12.03319986234419,1902,150.36389994202182,1422
0_low_blowup,nonogram,nonogram_52,1.0440528634361232,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,100.8874673,0.413065,3030,2738,0,301082,2738,60.20891161431702,12.79875821767714,0,54.74619986489415,1902,143.03779965848662,1362,12.03319986234419,1902,150.36389994202182,1422
0_low_blowup,nonogram,nonogram_52,1.0440528634361232,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,137.3482133,0.727808,18101,15549,0,31633548,15549,198.07936201685,17.79953694771368,0,54.74619986489415,1902,143.03779965848662,1362,12.03319986234419,1902,150.36389994202182,1422
0_low_blowup,nonogram,nonogram_53,1.0576923076923077,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0017854,0.402716,2,0,0,497,0,0,0,0,28.887400025269017,1083,52.460100007010624,780,7.507800095481798,1083,63.598800014005974,825
0_low_blowup,nonogram,nonogram_53,1.0576923076923077,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.001812,0.361261,2,0,0,497,0,0,0,0,28.887400025269017,1083,52.460100007010624,780,7.507800095481798,1083,63.598800014005974,825
0_low_blowup,nonogram,nonogram_53,1.0576923076923077,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.033364,0.507209,63,39,0,47936,39,11.66666666666667,2.923076923076923,0,28.887400025269017,1083,52.460100007010624,780,7.507800095481798,1083,63.598800014005974,825
0_low_blowup,nonogram,nonogram_55,1.0480769230769231,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,2.8630258,0.46804,95,76,0,11255,76,12.8421052631579,3.986842105263158,0,55.42880005668849,1581,120.2532998577226,1144,14.883300027577206,1581,145.53510010591708,1199
