bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,layered_multigraph_sync_ms,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_42,1.0526315789473684,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1259309,0.446483,23,7,0,996,7,15.714285714285714,5.571428571428571,0,70.5967,24.95500000031825,1318,50.62760000009803,950,5.961200000001554,1318,69.23810000057529,1000
0_low_blowup,nonogram,nonogram_42,1.0526315789473684,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1540153,0.353847,23,7,0,996,7,15.714285714285714,5.571428571428571,0,83.2917,24.95500000031825,1318,50.62760000009803,950,5.961200000001554,1318,69.23810000057529,1000
0_low_blowup,nonogram,nonogram_42,1.0526315789473684,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0824248,0.532048,157,74,0,82492,74,38.66216216216216,7.121621621621622,0,,24.95500000031825,1318,50.62760000009803,950,5.961200000001554,1318,69.23810000057529,1000
0_low_blowup,nonogram,nonogram_43,1.0416133162612036,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,14.9713251,0.35744,420,365,0,31667,365,72.07397260273973,9.473972602739726,0,6976.8006,38.748200000327415,2169,108.88219999856119,1562,9.839400000601017,2169,140.71619999958784,1627
0_low_blowup,nonogram,nonogram_43,1.0416133162612036,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,13.6645124,0.416188,420,365,0,31656,365,72.02191780821917,9.476712328767123,0,6605.0764,38.748200000327415,2169,108.88219999856119,1562,9.839400000601017,2169,140.71619999958784,1627
0_low_blowup,nonogram,nonogram_43,1.0416133162612036,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,7.8657385,0.787801,2221,1491,0,2310680,1491,145.41381623071763,9.263581488933601,0,,38.748200000327415,2169,108.88219999856119,1562,9.839400000601017,2169,140.71619999958784,1627
0_low_blowup,nonogram,nonogram_44,1.0395136778115501,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.5992925,0.437841,34,20,0,2036,20,10.2,2.75,0,264.7893,40.647400000807465,2275,127.62720000000627,1645,10.355699999763601,2275,139.49399999955858,1710
0_low_blowup,nonogram,nonogram_44,1.0395136778115501,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.5284543,0.409688,34,20,0,2035,20,10.2,2.75,0,243.9688,40.647400000807465,2275,127.62720000000627,1645,10.355699999763601,2275,139.49399999955858,1710
0_low_blowup,nonogram,nonogram_44,1.0395136778115501,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.2159819,0.751011,211,99,0,186470,99,57.38383838383838,7.515151515151516,0,,40.647400000807465,2275,127.62720000000627,1645,10.355699999763601,2275,139.49399999955858,1710
0_low_blowup,nonogram,nonogram_47,1.0483304042179262,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1503914,0.404467,8,3,0,987,3,2.6666666666666665,2.6666666666666665,0,89.0502,28.45400000023801,1567,62.90810000109559,1138,7.030700000086654,1567,85.13370000127907,1193
0_low_blowup,nonogram,nonogram_47,1.0483304042179262,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1788383,0.380753,8,3,0,987,3,2.6666666666666665,2.6666666666666665,0,102.9814,28.45400000023801,1567,62.90810000109559,1138,7.030700000086654,1567,85.13370000127907,1193
0_low_blowup,nonogram,nonogram_47,1.0483304042179262,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.1952417,0.700024,241,140,0,209126,140,31.37857142857143,4.085714285714285,0,,28.45400000023801,1567,62.90810000109559,1138,7.030700000086654,1567,85.13370000127907,1193
0_low_blowup,nonogram,nonogram_52,1.043891733723482,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,250.0765669,0.507228,9117,7974,0,716687,7974,32.294456985201904,8.968397291196387,0,107467.259,34.67770000065684,1896,89.3327999988287,1367,8.516399999280111,1896,119.41359999946144,1427
0_low_blowup,nonogram,nonogram_52,1.043891733723482,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,240.8385353,0.594947,9031,7869,0,706538,7869,32.02249332825009,8.911297496505274,0,103077.6577,34.67770000065684,1896,89.3327999988287,1367,8.516399999280111,1896,119.41359999946144,1427
0_low_blowup,nonogram,nonogram_52,1.043891733723482,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,224.2345381,0.785124,44048,37993,0,74920192,37993,86.2150396125602,10.98094385807912,0,,34.67770000065684,1896,89.3327999988287,1367,8.516399999280111,1896,119.41359999946144,1427
0_low_blowup,nonogram,nonogram_53,1.0412960609911055,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.104006,0.442318,88,50,0,4482,50,38.34,7.24,0,532.8936,39.20979999907104,2187,121.00939999982074,1574,10.131700001011268,2187,145.3023999999914,1639
0_low_blowup,nonogram,nonogram_53,1.0412960609911055,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.198817,0.417042,88,50,0,4490,50,38.34,7.24,0,562.769,39.20979999907104,2187,121.00939999982074,1574,10.131700001011268,2187,145.3023999999914,1639
0_low_blowup,nonogram,nonogram_53,1.0412960609911055,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.7960772999999999,0.762239,994,625,0,806226,625,114.6624,12.16,0,,39.20979999907104,2187,121.00939999982074,1574,10.131700001011268,2187,145.3023999999914,1639
0_low_blowup,nonogram,nonogram_55,1.043827611395179,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,3.3317236,0.393624,198,162,0,12174,162,42.925925925925924,9.12962962962963,0,1531.6134,35.193199998957425,1906,90.79959999849052,1369,8.697100000517821,1906,122.78860000037639,1429
0_low_blowup,nonogram,nonogram_55,1.043827611395179,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.9753058,0.423557,198,162,0,12184,162,42.925925925925924,9.12962962962963,0,1366.0586,35.193199998957425,1906,90.79959999849052,1369,8.697100000517821,1906,122.78860000037639,1429
0_low_blowup,nonogram,nonogram_55,1.043827611395179,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,8.6759918,0.672928,2689,1852,0,2959940,1852,161.72624190064795,13.624190064794817,0,,35.193199998957425,1906,90.79959999849052,1369,8.697100000517821,1906,122.78860000037639,1429
0_low_blowup,nonogram,nonogram_66,1.041427660930529,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,19.3201612,0.423749,691,596,0,47159,596,43.15939597315436,7.62248322147651,0,8506.9527,39.151799999217474,2161,108.0229999997755,1569,9.89400000025853,2161,141.19860000096196,1634
0_low_blowup,nonogram,nonogram_66,1.041427660930529,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,19.530574,0.346834,691,596,0,47121,596,43.145973154362416,7.62248322147651,0,8578.2782,39.151799999217474,2161,108.0229999997755,1569,9.89400000025853,2161,141.19860000096196,1634
0_low_blowup,nonogram,nonogram_66,1.041427660930529,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,15.4851176,0.702192,3166,2641,0,4831027,2641,178.1643316925407,9.628928436198409,0,,39.151799999217474,2161,108.0229999997755,1569,9.89400000025853,2161,141.19860000096196,1634
0_low_blowup,nonogram,nonogram_7,1.0485865724381624,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2692527,0.444733,15,10,0,1483,10,3.3,2,0,126.6397,46.27660000051037,1569,102.65620000063791,1132,12.294999999312495,1569,135.51039999924797,1187
0_low_blowup,nonogram,nonogram_7,1.0485865724381624,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2664411,0.362974,15,10,0,1484,10,3.3,2,0,118.6593,46.27660000051037,1569,102.65620000063791,1132,12.294999999312495,1569,135.51039999924797,1187
0_low_blowup,nonogram,nonogram_7,1.0485865724381624,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.1568563,0.56382,199,107,0,157702,107,41.074766355140184,4.850467289719626,0,,46.27660000051037,1569,102.65620000063791,1132,12.294999999312495,1569,135.51039999924797,1187
0_low_blowup,nonogram,nonogram_83,1.043956043956044,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0149907,0.442377,6,1,0,946,1,2,2,0,95.4442,34.885699999676945,1880,83.80849999957718,1365,8.500599999933911,1880,121.9359000001532,1425
